396,"Sports and Recreation|Race Tracks"
398,"Sports and Recreation|Racquetball"
399,"Sports and Recreation|Tennis"
400,"Sports and Recreation|Recreation Centers"
401,"Sports and Recreation|Running"
402,"Sports and Recreation|Skating"
403,"Sports and Recreation|Snow Sports"
404,"Sports and Recreation|Soccer"
405,"Sports and Recreation|Sports Clubs"
406,"Sports and Recreation|Stadiums and Arenas"
407,"Sports and Recreation|Swimming Pools"
409,"Sports and Recreation|Boating"
410,"Sports and Recreation|Canoes and Kayaks"
411,"Sports and Recreation|Rafting"
412,"Sports and Recreation|Scuba Diving"
413,"Sports and Recreation|Swimming"
414,"Sports and Recreation|Yoga and Pilates"
416,"Travel|Airlines and Aviation Services"
417,"Shopping|Automotive|Gas Stations"
418,Travel|Parking
419,"Travel|Public Transportation Services"
420,"Travel|Taxi and Car Services"
421,"Travel|Taxi and Car Services"
422,"Travel|Taxi and Car Services"
423,"Travel|Taxi and Car Services"
425,Travel|Airports
426,"Travel|Bus Stations"
428,Travel|Ports
429,"Travel|Rail Stations"
431,Travel|Cruises
433,"Travel|Bed and Breakfasts"
434,"Travel|Cottages and Cabins"
435,Travel|Hostels
436,"Travel|Hotels and Motels"
437,"Travel|Lodges and Vacation Rentals"
438,Travel|Resorts
439,"Travel|Tourist Information and Services"
440,"Travel|Travel Agents and Tour Operators"
441,Healthcare|Doctors|Geriatrics
442,"Shopping|Discount Stores"
443,"Shopping|Food and Beverage"
444,"Shopping|Office Supplies"
445,"Shopping|Party Supplies"
446,"Services|Career Counseling"
447,Services|Construction
448,Services|Notary
449,Services|Photography
450,"Services|Translation Services"
452,"Sports and Recreation|Surfing"
454,Services|Technology
455,Services|Technology
456,Services|Technology
457,"Food and Dining|Asian"
458,"Food and Dining|Food Trucks"
460,Services|Technology
463,Entertainment|Arcades
464,"Food and Dining|International"
466,Healthcare|Optometrist
